mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0	3.0	4	4/4	3/4	1/4			1			firstMeasure	2
2	1	3	3	4.0	4	4/4	1	0							3
3	2	7	7	4.0	4	4/4	1	0							4
4	3	11	11	4.0	4	4/4	1	0							5
5	4	15	15	4.0	4	4/4	1	0							6
6	5	19	19	4.0	4	4/4	1	0							7
7	6	23	23	4.0	4	4/4	1	0							8
8	7	27	27	4.0	4	4/4	1	0							9, 10
9	8		31	1.0	4	4/4	1/4	0	1					end	1
10	8	31	32	1.0	4	4/4	1/4	0	2		1			lastMeasure	-1
